462;Thou Thinkest Lord Of Me;;"Thou thinkest Lord of me
Thou thinkest Lord of me
What need I fear when Thou art near
Where we won't need money.
There is a land 
Shining with jasper.
There we shall see 
Our blessed Saviour.

CHORUS
And that's the reason
We shout ""Hallelujah""
Praising our King across the river.
That shining river
Where the saints will gather
There we shall see 
Our blessed Messiah.

Elijah has come, 
He has done his work already
As John has said, 
The Bride has made ready.
And now we are waiting 
For the coming of Jesus.
For that blessed day
When the Lamb shall take us.

Our hopes are bright, 
Our lamps are burning.
And day by day 
Our hearts are yearning.
This is the evening
He will come in the morning.
Then we shall wait 
Until the dawning."
476;The End Time (PBW);F;"I look and see earth's sorrowing picture,
The hoarding mobs for selfish gain;
Their toil of hand for ease and comfort,
Can they not see, their doom is sealed, it's all in vain.

CHORUS
The end is here, it's now at hand,
The Bride is gathering; the world is failing;
Israel's awak'ning; nations are breaking;
Our prophet taught us, we believe the end is here.

Sirs, this is the time! our prophet spoke of,
The Angel came with a Shout,
The mountain shook as His Voice cried out,
""Time is no more,"" loud and clear the Shout went forth.

Have you considered the end-time Message?
Have you considered Malachi 4?
Revelation 10:7 and St. Luke 17
Proclaims this Message now, and then forevermore."
477;Jehovah Jireh (PBW);C;"Jehovah Jireh, my provider,
You are more than enough for me.
Jehovah Rapha, You are my healer,
By your stripes I am set free.
Jehovah Shammah, You are with me
You supply all my needs
You are more than enough, more than enough
You are more than enough for me!

Jehovah Nissi, You are my Victory,
You are more than enough for me,
Jehovah Tsidkenu, my Righteousness, 
All you are, I now can be.
Jehovah Ra-ah, You're my Shepherd,
Shalom, You are my Peace.
You are more than enough, more than enough;
You are more than enough for me!"
478;He's Here, Elijah's God Is With Us Today (PBW);;"He's here, Elijah's God is with us today,
He's here, to do and will whatever we say,
Behold the bride of Christ in full array,
He's here, Elijah's God is here.

She walks in step 
   with the revealed Word of the hour,
She talks and demons flee 
   before His mighty power,
Behold the Bridegroom, 
   united with His mate
He's here, Elijah's God is here."
479;The Token (PBW);E;"The Lord talked to Moses,
Told him what to say
To the children of Israel 
In Goshen that day.
Slay the Lamb,
Take the blood,
Strike the posts and the door,
For I'll pass through Egypt this night
And smite all the first born.

CHORUS
Let the death angel pass
God's bride safe at last.
In the Token He gave
That we could be saved.
Oh! Hallelujah and glory to God.
The Blood's been applied,
His Spirit abides.
Let the death angel pass.

The sweet Holy Spirit
Is the Token today,
And all that is under it,
God said would be safe.
Outside of this Token
The lost will be found.
If you want your loved ones saved,
Better get them in now."
480;I Feel The Pull (PBW);G;"At night I lay in bed
And I begin to cry,
And my mind just fails to know
Exactly why.
I can't explain with tongue or pen
The spirit's groanings deep within;
It must be God, here in my soul,
Because I feel the pull.

CHORUS
I feel the pull, I hear the call,
And I know His Spirit's moving me
To give my all.
He speaks to me, and I agree,
Lord, please come and take control;
I feel the pull.

I went to hear the Word
And with each line and phrase;
He was drawing me
To give a higher praise.
There's a deep call to the deep
Like a great magnet pulling me;
I know for sure
That I'll reach the goal,
Because I feel the pull."
481;Where There's A Deep Calling (PBW);C;"We see the tree in the winter
The green leaves are turned 
   brown and red
The life that was there has gone 
   back to the ground
It looks like the tree is dead
There is a promise of springtime
That life will be made anew
It speaks of the resurrection morning
It shows that God's Word is true

Chorus
Where there's a deep, deep calling
There's a deep, deep to respond
Where there's a hope for a city
There's a land beyond the sun
Where there's a yearning, burning
to leave this world that we have known
There is a King returning, coming 
   to take us home.

Each one must come to his winter
And God all His children has saved
That though they may lay us beneath 
   the cold ground
The life that is there is not dead
We have a promise of springtime
That life would be made anew
We'll meet at the resurrection morning
We'll sail beyond the blue

God's seed had to die and be buried
In Luther it started to sprout
The work had begun, drawn forth 
   by the sun
The message of faith brought it out
Then came the stalk by John Wesley
The Holy Ghost made the wheat grow
Then the chaff and the wheat separated
God's seventh angel's word made it so"
482;The Pillar of Fire (PBW);;"What we have is the pillar of fire
Leading the church of God again
Leading us back to the Bible
Leading us away from sin
Showing the resurrected savior
Showing Himself alive again
And what we have is the pillar of fire
Leading the church of God again.

The pillar of fire led the children of Israel
Led them out of Egypt's land
Led them to the rock of the water
Led them to the manna in God's hand
Led them to God's holy mountain
He wanted just to speak unto them
But He wasn't finished with them yet
He led them to the promised land.

The early church had the pillar of fire
Leading each and every day
Showing to all the sinners
That Jesus is the only way
Without the Blood there is no salvation
Without the Spirit there is no love
And what we have is the pillar of fire
Burning in the hearts of men.

What we need is the Pillar of Fire
Leading the church of God again
Leading us back to the Bible
Leading us away from sin
Knowing the resurrected Saviour 
Showing Himself alive again
What we need is the Pillar of Fire 
Leading the church of God again"
483;In The Presence Of Jehovah (PBW);C;"In and out of situations
That tug of war at me
All day long I struggle
For answers that I need
But then I come into His presence
And all my questions become clear
And for that sacred moment
No doubts can interfere.

CHORUS
In the presence of Jehovah,
God Almighty, Prince of Peace;
Troubles vanish,
Hearts are mended
In the presence of the King.

Through His love the Lord provided
A place for us to rest
A place to find the answers
In the hour of distress
Now there's never any reason
For you to give up in despair
Just slip away and breathe His name
He will surely meet you there."
484;I'LL See You In The Rapture (PBW);Eb;"If we never meet again on this earth, my precious friend,
If, to God, we have been true and we've lived above all sin;
Then, for us, there'll be a greeting,
For there's gonna be a meeting,
I'll see you in the rapture some sweet day.

CHORUS
I'll see you in the rapture, see you in the rapture,
See you at that meeting in the air;
There, with our blessed Savior, we'll live and reign forever,
I'll see you in the rapture some sweet day.

To my loved ones let me say that there'll surely come a day,
When the Lord will come again and He'll take His bride away;
So, get ready now to meet Him, and with hallelujahs greet Him,
I'll see you in the rapture some sweet day."
485;These Are The Days Of Elijah (PBW);G;"These are the days of Elijah,
Declaring the Word of the Lord;
And these are the days of your servant, Moses,
Righteousness being restored.
And though these are the days of great trials,
Of famine and darkness and sword
Still we are the voice in the desert crying,
""Prepare ye the way of the Lord!""

CHORUS
Behold He comes, riding on the clouds
Shining like the sun, at the trumpet call.
Lift your voice, it's the year of jubilee
And out of Zion's hill salvation comes.

These are the days of Ezekiel,
The dry bones becoming as flesh
And these are the days of your servant, David
Rebuilding a temple of praise
And these are the days of the harvest
The fields are as white in the world
And we are the laborers in your vineyard
Declaring the Word of the Lord.

There's no God like Jehovah (x7)"
486;Come And Dine (PBW);;"Jesus has a table spread
Where the saints of God are fed,
He invites His chosen people,  ""Come and dine,""
With His manna He doth feed 
And supplies our ev'ry need;
O 'tis sweet to sup with Jesus all the time!

CHORUS
""Come and dine,"" the Master calleth,
""Come and dine;""
You may feast at Jesus' table
  all the time; 
He who fed the multitude,
Turned the water into wine,
To the hungry calleth now,
""Come and dine.""

The disciples came to land, 
Thus obeying Christ's command,
For the Master called to them,
""O come and dine;""
There they found their hearts' desire,
Bread and fish upon the fire;
Thus He satisfies the hungry ev'ry time.

Soon the Lamb will take His bride
To be ever at His side,
All the host of heaven will
  assembled be;
O 'twill be a glorious sight,
All the saints in spotless white;
And with Jesus they will feast eternally."
487;Justified (PBW);Eb;"I was sitting alone and wondering
About what I'm suppose to do:
I can't deny that times I make mistakes
I can't hide from Him: He knew.
But, I know that deep within my soul
I felt sorry: Honest I do.
So I just cry, and say ""Forgive me, Lord.
Forgive me again, will You""

Chorus
Justified, Justified,
You have not done it in the first place,
You're justified.
Justified, Justified,
You have not done it in the first place,
You're justified.

So often I've been discouraged
When I count the times I fall
""Cause He promised I'll be victorious,
When I know I'm not at all.
Then I heard an Eagle scream:
His voice quickened my soul.
He said, ""You have not done it in the first place:
You're justified.""

He looked at your perfect picture
Without blame, spot, or wrinkle.
He didn't look at you where you are now;
He looked from eternity.
He said, ""You're just trapped in that body;
You bypassed your theophany;
You have not done it in the first place,
You're justified."""
488;Ancient Words (PBW);;"Holy Words, long preserved
For our walk in this world
They resound with God's own heart
Oh, let the Word of God impart.
Words of life, Words of hope;
Give us strength, help us cope
In this world where we roam
The Word of God will guide us home.

Chorus
Words of God ever true
Changing me and changing you
We have come with open hearts
Oh, let the Word of God impart.

Holy Words of our faith
Handed down to this age
Came to us through sacrifice
Oh, heed the faithful Words of Christ.
Holy Words long preserved
For our walk in this world
They resound with God's own heart
Oh, let the Word of God impart."
489;Face To Face (PW);C;"When I think about Your goodness
Lord Your mercy and Your grace
How I long to be so close to You
Just to look upon Your face
And to tell You things I can't express
In this mortal place
So I long to be translated
Just to tell You face to face

Face to face
So I can truly sing Your praise
Face to face
The time I long for all these days
Face to face
Beholding the beauty of Your face
Lord I want to tell You Lord
Yes I long to meet You Lord
So I can really praise You Lord
Face to face

When I think about that great day
When I'll meet You in the air
And then to the marriage supper
Like Isaac with Rebecca
Then You'll come and lift the veil
Off Your dear Bride's face
Lord I'm dressed and I am waiting
Just to see You
Face to face

Face to face
So I can truly sing Your praise
Face to face
The time I long for all these days
Face to face
Beholding the beauty of Your face
How I long to tell You Lord
Yes I long to meet You Lord
So I can really praise You Lord
Face to face

When I think about our future home 
Of the Bride and Christ alone
 How we'll dwell in the New Jerusalem
Upon Your royal throne
For Your prophet came and told us 
About this perfect place
And I want to say how I love You
Just to tell You
Face to face

Face to face
So I can truly sing Your praise
Face to face
The time I long for all these days
Face to face
Beholding the beauty of Your face
How I long to tell You Lord
Yes I long to meet You Lord
So I can really praise You Lord
Face to face

Yes I long to tell You Lord
And I want to meet You Lord
So I can really praise my Lord
Face to face"
490;From The Earthly (PBW);C;"Chorus
From the earthly to the 
   heavenly
From this body to our 
   theophany
From this old pest house 
   to our Father's house
There's a mansion He's 
   built for you and me

If our earthly house of this 
   tabernacle be dissolved
We have another one waiting
Eternal in the heavens
He said I go to prepare a 
   place for you
That where I am there you 
   may be also

In this body we groan desiring 
   to be clothed upon
With our new bodies celestial 
   in the heavens
So when this corruption shall 
   now put on incorruption
Then mortality shall be 
   swallowed up of life

Soon we'll lay aside this old 
   rugged robe of flesh
In exchange for a glorious one 
   prepared in the heavens
And at the resurrection at 
   the sounding of the trump
Our bodies will be glorified 
   just like Jesus"
491;God's Eagles (PBW);F;"I lived in a world of sin and shame
That only caused me grief 
   and pain
And I tried so hard to be free
Searching for my true identity
Didn't know I came from eternity
Until God came and revealed 
   it to me

Chorus
On the wings of a snow-white    
   dove
God sends His pure sweet love
On the wings of a snow-white
   dove
To take His eagles home
(Repeat)

I knew somehow I was born to fly
Way up in the sky
But somehow I couldn't set my 
   wings free
But since that day I heard His Voice
And made Him my heavenly choice
By His grace I can say I've been 
   set free

Now behold what manner of love
The Father hath bestowed upon us
That we might be called the Sons 
   of God!
Wherever He bids us we will go
Wherever He leads we will follow
'Cause who the Son has set free is 
   free indeed"
492;His Voice Makes The Difference (PBW);;"Chorus
His Voice makes the difference
When He speaks He relieves 
   my troubled mind
It's the only Voice I hear that 
   makes the difference
And I'll follow that Voice all 
   the time

When I needed Him
I know where to find Him
In my place of prayer
   His Spirit covers me
Oh His voice gently gives me 
   My direction
And I'll follow one day at a time

Rev. 10 verse 7
Is the voice in this last day and age
Is the only voice I know 
   That makes the difference
And I'll follow this voice all the time

Oh His voice, 
Its a strong and Mighty tower
Tearing down every stronghold in my life
He's the master of the wind 
   and sea that rages
When He speaks 
   all my darkness turns to light

I have heard other
   voices speaking to me
To deceive and to lead me astray
But my Shepherd's voice
   is different from all others
I'm His sheep and 
   I know my Shepherd's voice"
493;I Was On His Mind (He knew me) (PBW);;"There's no one great among us
We're nothing on our own
We make mistakes and often slip
Just common flesh and bones
But someday I'll prove just what 
   He says, I'm of a special kind
When He was on the cross
I was on His mind

CHORUS
He knew me, yet He loved me
He whose glory makes the 
   heavens shine
So unworthy of such mercy
Yet when He was on the cross
I was on His mind

A look of love was on His face
The thorns upon His head
The blood drops on that 
   spotless robe
Stained it a crimson red
Though His eyes were on the 
   crowd that day
He looked ahead in time
For when He was on the cross
You and I were on His mind"
494;In Your Bride Be Glorified (PBW);;"In Your church Lord
Be glorified, be glorified
In Your church Lord
Be glorified today

In Your Bride Lord
Be glorified, be glorified
In Your Bride Lord
Be glorified today

In my life Lord
Be glorified, be glorified
In my life Lord
Be glorified today"
495;It Will Be Worth It All (PBW);G;"One of these mornings
One of these days
It will be over 
And we will go home
In a twinkling of an eye 
Our bodies will be changed

Chorus
And we will take up for a heavenly 
   home eternal
Through the skies on eagles wings
To meet our Father there
And we will sit down at His Glorious 
   table, And talk about His love
It will be worth it all when we go home

We got the faith
We fought the fight
And we have the victory
The battle is won
We have fulfilled God's Word
And we are waiting to go home"
496;My Theophany (PBW);;"CHORUS
One day I'm gonna take a step 
   toward my theophany
One day I'm gonna take another step 
   into my theophany
One day I'll take the final step
   it's gonna set me free
My theophany, I hear it calling me

Don't you worry little children
Should death knock at your door
Don't you know there's a doorway
That leads to the heavenly shore
Where there's no heartache
No dying in that Land
Peace and joy
Perfect love beyond compare

Over the next hill I look, I see 
   the victory
Around the next turn in the road
Well the devil's got to flee
God's army is marching, marching 
   onward, to slay the enemy
Over the next hill, I see Jesus 
   calling me

And He's calling come up 
A little higher into the perfect Word
Come Up, a little higher
Into Agapo Love
And He's calling come up 
A little higher
Soar through the heavenlies
My theophany, I hear it calling me"
497;So Just Be Faithful (PBW);;"In these days of trials so near 
   the end
When Christ from Glory doth 
   now descend
Men's hearts are failing and 
   filled with fear
We know the end time is 
   surely here

CHORUS
So just be faithful, believe His 
   Word
Stay with the Message that you 
   have heard
List to His prophet, his Message 
   heed
Walk in the Light where His star 
   doth lead

In every church age a star did 
   shine
To help God's people a Truth 
   to find
In this last church age a star 
   shines bright
So friend receive It, walk in 
   the Light"
498;Take Me Into The Holy Of Holies (PBW);;"Chorus
Take me into the Holy of holies
Take me in by the blood of 
   the Lamb
Take me into the Holy of holies
Take the coals, cleanse my lips
   here I am

In the outer court I'm justified
In the Holy place made clean
But in the Holy of Holies
It's the Holy Ghost Himself
The mighty Presence of Jehovah
Where I'm a prisoner of love
Lord help me so you can rise in me 
A capstone of Love

Take me past the outer court,
   into the Holy Place
Past the brazen alter
   Lord I want to see your face
Take me past the crowds of people
   and the priests that sing your praise
Lord I hunger and thirst 
   for your righteousness
That is only found one place"
499;The Great I Am  (PBW);;"I AM that spoke to Moses in the 
   burning bush of fire
I AM the God of Abraham the 
   Bright and Morning Star
I AM the Rose of Sharon from 
   beginning whence I came
I AM the whole creation and 
   Jesus is My Name

CHORUS
Oh, who do you say I am and 
   whence do you say I came
Do you know the Father and 
   can you tell His Name?
In Jesus dwells the fullness of 
   the Godhead, don't you see
Jesus is the great I AM and the 
   Lord of lords is He

I AM was before old Abraham
""He rejoiced to see My day""
When Jesus spoke these precious 
   words they stoned Him right away
""Why do you stone Me?"" Jesus 
   said in a holy, sweet command
""Because you say you're the great 
   I AM we believe you're just a man""

It was on the Day of Pentecost oh 
   how the fire did fall
The Holy Ghost descended and 
   filled them one and all
Then Peter told the multitude
""Repent of all your sins""
About three thousand souls were 
   buried in Jesus' precious Name"
500;When The Spirit Of The Lord (PBW);;"When the Spirit of the Lord 
   comes upon my heart 
I will dance as David danced
(Repeat)

I will dance, I will dance
I will dance as David danced
I will dance, I will dance
I will dance as David danced

When the Spirit of the Lord 
   comes upon my heart 
I will sing as David sang
(Repeat)

I will sing, I will sing
I will sing as David sang
I will sing, I will sing
I will sing as David sang

When the Spirit of the Lord 
   comes upon my heart 
I will pray as David prayed
(Repeat)

I will pray, I will pray
I will pray as David prayed
I will pray, I will pray
I will pray as David prayed"
501;Where There's A Deep Calling (PBW);C;"We see the tree in the winter
The green leaves are turned 
   brown and red
The life that was there has gone 
   back to the ground
It looks like the tree is dead
There is a promise of springtime
That life will be made anew
It speaks of the resurrection morning
It shows that God's Word is true

Chorus
Where there's a deep, deep calling
There's a deep, deep to respond
Where there's a hope for a city
There's a land beyond the sun
Where there's a yearning, burning
to leave this world that we have known
There is a King returning, coming 
   to take us home.

Each one must come to his winter
And God all His children has saved
That though they may lay us beneath 
   the cold ground
The life that is there is not dead
We have a promise of springtime
That life would be made anew
We'll meet at the resurrection morning
We'll sail beyond the blue

God's seed had to die and be buried
In Luther it started to sprout
The work had begun, drawn forth 
   by the sun
The message of faith brought it out
Then came the stalk by John Wesley
The Holy Ghost made the wheat grow
Then the chaff and the wheat separated
God's seventh angel's word made"
502;A Living Reality (PBW);F;"God gave a promise 
To His bride in this last days
Priests and Kings He's made us
And forever we shall reign
We're following an eternal order
Way beyond the humanistic realm
God lifting us to a higher place only 
By His grace

CHORUS
We're a living reality
We are His Holy Word
The substance of the shadow
The fulfillment of His Word
We're a living reality
We're the mystery revealed
Christ manifested in us
He in us and we in Him

Our natural birth brought five senses
To relate to natural things
But by our new birth
We received the sixth sense faith
Faith the Holy Spirit
Came in us to dwell again
A circumcised people
Greater works we'll do again

Faith relates to Melchizedec
And we are the faith
Faith is the substance 
God in flesh again
We are not on Mt. Sinai
But now raised up to Mt. Zion
Like our father Abraham
From the dust to the stars 
We were made"
503;Are You She (W);;"I slipped through the gates of pearl as 
   Peter greeted me
And one by one I met the saints I'd 
   longed so much to see
I saw my hero Stephen, Paul and Timothy
But before my breath could find the words
I heard them speak to me

Are you she, the bride of the last days
Who stood the worst of times
When so many slipped away?
Here's your crown, take your place 
   beside the Throne 
Christ is now your very own
Is this the special chosen one we see?
Are you she?

It was the worst of all the ages, they 
   continued to say
How did you live a Christian life
In such a Godless day?
Question after question my hereos 
   lifted me
Then I heard a voice behind me, 
   whisper tenderly

This is she, the bride of the last days
Who stood the worst of times
When so many slipped away
Here's your crown, take your place 
   beside the Throne. 
I am now your very own
This is the special chosen one you see
This is she!

These trials that you're facing, may 
   seem so big and tall
But when we hear the Master speak
It will make it worth it all

You are she, the bride of the last days
Who stood the worst of times,
When so many slipped away
Here's your crown, take your place 
   beside the Throne. 
Christ is now your very own
This is the special chosen one you see
You are she!"
504;By His Word (PBW);A;"It is written that man should 
   not live by bread alone
But by every Word that comes 
   from the mouth of God
And by His Word He gave His 
   Son for us on Calvary
To pay the price of sin for you 
   and me

By His Word
He raised the sick man 
   from the bed
By His Word
He gave life unto the dead
By His Word
He brings hope to the 
   hopeless souls

By His Word
You can have the victory
By His Word
He has set the captive free
By His Word
He gave life to you and me

Just one Word was broken in Eden 
   and thats what caused the fall
So it will take all of the Word to 
   bring us back to God
And through this last day Message 
all the Word has been made known
And by His power we have 
   overcome

By His Word
He spoke and squirrels did appear
By His Word
Storm go back from where you came
By His Word
Little fishy I give you back your life

By His Word
He spoke a tumour out of existance
By His Word
He gave two boys salvation
By His Word
He gave life to you and me

By His Word
We'll be changed like Abraham and Sarah
By His Word
We'll be caught away like Elijah
By His Word
We will wake the sleeping saints
By His Word
Then go to the wedding supper
By His Word
And we'll see our blessed Savior
By His Word
We will live eternally"
505;Dying To Be Reunited (PBW);G;"Chorus
I’m dying to be reunited 
   and in my soul I’m excited
I’m dying to be reunited with the
One Who’s always known me

Always inside of me there was 
   a deep that was calling
But there never was a deep to respond
Then my heart began searching
I didn’t know what for 
   until the day He came
Until He called my name
Now I can never never ever 
   be the same 

Indeed He came to me
But that wasn’t all
The words He spoke to me 
   controlled my heart 
And daily I die a death 
   unseen to human eyes
Until they see in me God manifest in flesh
Now I can never, never ever be the same

Bridge
I’m looking for a change in the inside
That will manifest on the outside
I’m looking for a change in the inside
That will manifest on the outside
A body change in the twinkle of an eye 

Ending
I’m dying to be reunited
With the One Who’s always known me"
506;Eagle Scream (PBW);G;"All my life I searched for the truth
I struggled deep inside
I knew this life just would not do
There was no comfort in,
   some man's philosophy
I felt so out of place, 
In this wondrous place
I had to know

Chorus
And then an eagle screamed
Child come out of her
I'll take you in my arms
And lead you to The Word
Come on lets spread your wings
I'll teach you how to fly
I've been so happy since,
I heard God's eagle cry.

There I was In the nest of unbelief 
Another empty heart 
Was really all I could see 
I needed something fresh 
To feed my hungry soul 
I felt so out of place, for this wondrous grace 
I had to know."
507;Favour In Your Eyes (W);;"The great Almighty God, He had a plan
That He made known unto man
When He sent Eliezer, To get a Bride for His son
It was you and I, He had in His mind
He said my dear Bride, I love you
You are the apple of my eye
And you have found, 
Yes, you have found favour in my eyes

I have found favour in His eyes
Favour in His eyes
For He has chosen me to be His Bride
Favour in His eyes
Favour in His eyes
And now I am called Mrs. Jesus Christ

Oh, what a priveledge that I have been given
To wed Almighty God
Creator of earth and heaven
The greatest honour
That He has bestowed upon me
Is to live and reign with Him eternally
He said my dear Bride I love you
You are the apple of my eye
And you have found, 
Yes you have found
Favour in my eyes

I have found favour in His eyes
Favour in His eyes
For He has chosen me to be His Wife
Favour in His eyes
Favour in His eyes
And now I am called Mrs Jesus Christ

Oh what a union between Christ and His Bride
Two no longer twain
But has become man and wife
Through redemption by marriage
We have taken on His name
Mrs Jesus Christ
One and the same
My dear Lord I love you
You are the apple of my eye
And I have found
Yes I have found
Favour in your eyes

I have found favour in His eyes
Favour in His eyes
For He has chosen me to be His Wife
Favour in His eyes
Favour in His eyes
And now I am called Mrs. Jesus Christ

Oh what a love story, 
Between Christ and I
He is my Beloved 
And I know my beloved is mine
Through redemption by marriage, 
I have taken His name
Mrs. Jesus Christ, one and the same
My dear Lord I love you
You are the apple of mine eye
And I have found, Yes I have found
Favour in your eyes

I have found favour in your eyes
Favour in your eyes
For you have chosen me to be your Wife
Favour in your eyes
Favour in your eyes
And now I am called Mrs. Jesus Christ

I have found favour in your eyes
Favour in your eyes
For you have chosen me to be your Wife
 
Favour in your eyes
Favour in your eyes
And now I am called Mrs. Jesus Christ  x 3"
508;God's Elected Lady (W);;"The Lord gave a sign
In this end-time
And it was overlooked by the world
But gladly accepted by God`s Elected
And here She stands
In the splendour of His beauty
(Repeat Verse)

We present to the world
God`s Lady
Spotless and blameless
Righteous and virtuous
Oh She`s justified 
Oh She`s sanctified
In God`s eyes  

Mysteries of God now are opened
The pyramids been capstoned
Christ Himself, living in His Bride
Soon to be taken away 
Bride hold on

When you facing temptation
All odd`s are against you
Stand your ground
Your enemy is defeated
Oh you can praise Him now
For He overcame
On the cross of Calvary
The cross of Calvary

We present to the world
God`s Lady
Spotless and blameless
Righteous and virtuous
Oh She`s justified 
Oh She`s sanctified
In God`s eyes"
509;I Know My Redeemer Lives (BW);A;"Who taught the sun where to 
   stand in the morning
Who told the ocean you can 
   only come this far?
Who showed the moon where 
   to hide till evening
Whose words alone can 
   catch a falling star?

Chorus
I know my Redeemer lives
I know my Redeemer lives
All of creation testifies
This life within me cries
I know my Redeemer lives

The very same God that 
   spins things in orbit
He runs to the weary, the 
   worn and the weak
And the same gentle hands 
   that hold me when I'm broken
They conquered death to 
   bring me victory

He lives to take away my shame
And He lives forever I'll proclaim
That the payment for my sin
Was the precious life He gave
But now He's alive 
And there's an empty grave"
553;I Feel The Pull (BW);Fm;"I see a world that's judged
I see a dying world 
I see the need for the word to be manifest
A way is open unto us 
An entrance into another world
An evolution from the dust to the stars above
Giving quickening power 
By the hearing of the word

CHORUS
I feel the pull inside of my celestial home 
The deep in me is drawing me
 To that eternal place        }2x

There is a cry for revelation
A need to know as we were always known
For it won't be long again 
You can see we are at the end
Slack not your riding 
Continue to sigh and cry
You must have that token 
To take that heavenly flight

Though we've grieved by various trials 
That the genuiness of our faith may be tried
For at the end of our faith 
We'll receive salvation for our soul
A glorious body a son in the image of the word
United with theophany
We'll be one with the living God

BRIDGE
I see a world that's judged
No where to run no were to hide"
592;Made In His Likeness;;"From the dust of the earth
   God created man.
His breath made man a living soul.
For God so loved the world
   that He gave His only Son
And that is why I love Him so.

Chorus
Made in his likeness, 
   created in his image
I was born to serve the Lord
I can't deny Him, 
   I always walk beside Him
I was born to serve the Lord

My hands were made
To help my neighbour
My eyes were made 
To read God's word
My feet were made 
To walk in his footsteps.
My body is the temple of the Lord"
593;All Is Well;F;"There's a story in the Bible of Elisha,
The Shunammite woman and her son,
The woman found favor with God
And He gave her a son.
While working in a field the little boy died,
But the woman's faith never failed
Even in death she testified 
  that all is well.

Chorus
All is well, all is well,
We have heard the message, Shalom, 
All is well.
There is a place of perfect rest
Behind the inner veil.
So rest little Bride, rest for all is well.

Now things have not worked out,
Like God's people thought.
For we're still here fighting 
The greatest battle ever fought.
We must have the faith of Abraham,
Knowing God's Word never fails.
If we'll trust in Him, we'll find
  that all is well."
510;I Will Restore Saith The Lord (BW);;"Bride, do you remember
Way back to your former rain
Where you once stood in position
Having dominion and all things under your feet
But you fell, you fell from that fellowship
And you wondered, where you went wrong
So you cry out, you thirst for that latter rain
And you'll fight for that power again

You see the palmerworm came 
   in your life and ate
Then the cankerworm came in your life and ate
Then the caterpillar and locust ate
But God promised, yes He promised

That I will restore saith the Lord x 2
Jehovah promised a Holy Ghost promise
I will restore thus saith the Lord x 2

Power shall come from on high
After the Holy Ghost comes upon you
And you shall be witnesses 
   unto Me throughout the world
All My glory shall all men behold

For I shall come, unto you as the former rain
As the latter rain to you shall I come
And all men shall testify
That you have the evidence
That Jesus rose from the dead
And in your own atmosphere
God will visit you there
For you were meant to be mighty men 
   of valor and He promised

That I will restore saith the Lord x 2
Jehovah promised a Holy Ghost promise
I will restore thus saith the Lord x 2"
511;I'm Redeemed (W);;"Of all the songs I love to sing
I love to sing of being Redeemed
You see, I was born and shaped 
   In inquity, then I heard God's 
   Voice for this last day
I've been set free from every chain
I just want to shout I am redeemed
I've been redeemed

CHORUS
